id,created_at,class ,text
6.72E+17,12/1/2015 18:40,theft ,"Robbery (Gun) at 1300 hrs in the 600 b/o 4th St NE. LOF B/M, Blk Hoodie, Navy Blue Yankie Baseball Cap, blk sun glasses…… S-2 B/M, light co…"
6.72E+17,12/1/2015 17:21,open,Washington Gas reports the repairs at 1300 Allison are complete and all associated street closures have reopened.
6.72E+17,12/1/2015 16:19,closure,The 1300 b/o Allison St NW and the intersection of 13th and Arkansas closed due gas repairs. Please avoid the area.
6.72E+17,12/1/2015 15:19,open,MPD reports that street closures (2200 block Savannah Street SE) are now open.
6.72E+17,12/1/2015 14:03,closure,MPD reports Savannah Street SE between 22nd &amp; 23rd Street SE is closed due a police investigation. Please avoid the area
6.72E+17,12/1/2015 13:48,violence,Shooting Investigation at 8:16AM in the 2200 b/o Savannah St SE. No lookout at this time. CALL 911 W/ EVENT #I20150695699
6.72E+17,12/1/2015 2:04,theft ,"Attempt Robbery at 2025 hrs in the 400 b/o G ST NW.. LOF B/M, 19-20 years old, 5'6’’ tall, dark green jacket, dark jeans, short afro hair C…"
6.71E+17,11/30/2015 22:57,theft ,"Robbery Force/Violence in the 4600 b/o A.Street, SE. LOF suspects are 5 to 6 juveniles wearing a ski mask. CALL 911 W/ EVENT #I20150694789"
6.71E+17,11/30/2015 22:42,theft ,"Robbery [Hold Up Gun] at 1715 hrs in the 5700 b/o 13th Street, NW. LOF 5 Juvenile Males, Unknown Race wearing all dark clothing CALL 911 W/…"
6.71E+17,11/30/2015 18:23,closure,"Overnight
Single-Lane Closures in the I-395 Tunnel will Begin Monday, November
30

(Washington
DC) Beginning Monday, November 30, 2015, the…"
6.71E+17,11/30/2015 17:00,violence,"Stabbing, 1131 hours, 3700 b/o Minnesota Avenue NE, No lookout at this time. CALL 911 W/ EVENT # I20150694269"
6.71E+17,11/30/2015 4:57,violence,"ADW Gun at 2200 hrs at 4128 8th street NW. LOF CALL 911 . Lookout is for Suspect(1) B/M, 5’6’5’7, Dark complexion, wearing a dark Blue puff…"
6.71E+17,11/30/2015 2:42,theft ,"Robbery Gun at 2105 hrs in the 1700 block 11th Street NW. LOF: 2 black/male’s, 20’s, Suspect (1) 6'0"" tall, thin, black hoodie, dark pants,…"
6.71E+17,11/30/2015 1:41,theft ,"7D Robbery at 2010hrs in the 2200 b/o Alabama Ave SE. LOF B/M 20 years old, 5'6"", 185lbs, dark complexion, hair in short twists, black jack…"
6.71E+17,11/30/2015 1:26,violence,Stabbing at 1955 hrs in the 100 b/o Irving Street NE. No Lookout. CALL 911 W/ EVENT # I20150693225
6.71E+17,11/30/2015 0:56,theft ,"Robbery Hold up Gun in the 4400 b/o Benning Rd, NE. LOF Suspect is B/M, 30 yoa, 5'6, 180 -200 LBS, gray hat, gray coat and blue jeans armed…"
6.71E+17,11/30/2015 0:12,theft ,"Robbery at 1829 hrs in the 200 b/o M ST SW. LOF 3 B/M, One wearing gray hoodie CALL 911 W/ EVENT #"
6.71E+17,11/29/2015 18:21,closure,"Overnight
Single-Lane Closures in the I-395 Tunnel will Begin Monday, November
30

(Washington
DC) Beginning Monday, November 30, 2015, the…"
6.71E+17,11/29/2015 11:02,theft ,"Attempted Car Jacking, 0525 hours, Mass Avenue &amp; Minn Avenue SE, LOF B/M, 5'5"", green coat, 150-175lbs, light complexion armed w/ a silver …"
6.71E+17,11/29/2015 8:32,theft ,"Robbery GUN - 3700 blk of MLK Ave SE @ 0300. LOF 2 B/M’s, 1 armed w/ a handgun CALL 911 W/ EVENT #I20150692168"
6.71E+17,11/29/2015 8:32,theft ,robbery at 0257hrs in the 2400 b/o 18th street NW. LOF B/M 6'4 BLK SHIRT BLK HAT RED SHOES BUSHEY BEARD 25-30YRS CALL 911 W/ EVENT# I201506…
6.71E+17,11/29/2015 7:01,theft ,robbery at 0125 hrs in the 900 b/o L street. Lookout unknown CALL 911 W/ EVENT# I20150692025
6.71E+17,11/29/2015 6:00,theft ,"Robbery Gun at 2237 hrs at 725 Upshur St. NW. LOF 2 B/M , B/M wearing white jacket, blue jeans , B/M black jacket , short curly hair, armed…"
6.71E+17,11/29/2015 4:45,advisory,Disregard - this was sent out in error. CALL 911 W/ EVENT #I20150691653
6.71E+17,11/29/2015 4:30,violence,SHOOTING - 2900 blk of Vista St. NE @ 2123. No Lookout at this time CALL 911 W/ EVENT #I20150691653
6.71E+17,11/29/2015 4:00,closure,Due to scheduled utility work the road is closed in the 1600 b/o 33rd street NW closed in both directions. Please avoid.
6.71E+17,11/29/2015 3:45,theft ,Robbery Gun in the 900 b/o Rhode Island Avenue NE. One apprehension. CALL 911 W/ EVENT #I20150691607
6.71E+17,11/28/2015 23:59,violence,"Stabbing at 1811 hrs in the 2600 b/o Martin Luther King Jr. Avenue, SE. Suspect Stopped CALL 911 W/ EVENT # I20150691271"
6.71E+17,11/28/2015 23:44,violence,"* Robbery Force &amp; ViolenceRobbery Snatch at 1800 hrs in the 1200 b/o 5th St NE. LOF S-1 B/M 20-21 years old, short hair, navy hoodie; S-2 B…"
6.71E+17,11/28/2015 23:29,theft ,"Robbery Snatch at 1800 hrs in the 1200 b/o 5th St NE. LOF S-1 B/M 20-21 years old, short hair, navy hoodie; S-2 B/M 24-25 years of age, lon…"
6.71E+17,11/28/2015 23:14,theft ,"Robbery Gun 5100 b/o C Street SE. LOF: 2 black/males, 20-25 years of age, guns, Suspect (1) dark complexion, heavy build, 5'8"" tall, dreads…"
6.71E+17,11/28/2015 20:59,theft ,"Robbery at 1517 hrs in the unit b/o Atlantic St. SW. LOF 2 B/M: (1) red shirt, bushy hair, late 20'ss CALL 911 W/ EVENT # I20150690955"
6.71E+17,11/28/2015 13:11,advisory,TRAFFIC ADVISORY: CityCenterDC Holiday Tree Lighting- MPD and the DC Department of Transportation would like to inform the public of street…
6.71E+17,11/28/2015 10:41,theft ,"Robbery Gun at 0510 hrs in the 2400 b/o Alabama Avenue SE. LOF a B/M, red tennis shoes and black jacket CALL 911 W/ EVENT # I20150690310"
6.71E+17,11/28/2015 8:24,theft ,"Robbery at 0055 hrs in the 1100 b/o 16th Street, NW. Closed 1 arrest CALL 911 W/ EVENT #I2015189770"
6.71E+17,11/28/2015 8:24,theft ,"Armed carjacking at 0243 hrs in the 900 b/o V Street NW. 06 silver, Nissan altima, LOF S-1, B/M lt comp., S-2 B/M, Dk comp., armed /gun, CA…"
6.70E+17,11/28/2015 6:39,theft ,"Robbery Force &amp; Violence at 0055 hrs in the 1100 b/o 16TH St NW. LOF 3 B/M’s, S (1) B/M wearing grey hat, black jacket, black tight jeans. …"
6.70E+17,11/28/2015 6:09,theft ,"Robbery Gun at 0035 hrs in the 1200 b/o Eastern Ave. NE. LOF: S-1 B/M, brn jacket w/gun 5'4"", S-2, 5'8"" CALL 911 W/ EVENT #I20150689989"
6.70E+17,11/28/2015 5:38,theft ,"Robbery Gun at 2308 hrs at Half Street and M Street SE. LOF 6 to 7 males and females. LOF the suspect armed w/ the (hand gun) is B/M 5'4"" w…"
6.70E+17,11/28/2015 5:07,theft ,Robbery at 2245 hrs in the 1100 b/o 1st Street NW. LOF 4 B/M 14-15 years old. 3 Suspects are wearing dark hoodies and 1 Suspect is wearing …
6.70E+17,11/28/2015 4:52,theft ,"Robbery at 0355 hrs in the 1600 b/o V Street NW. LOF 3 B/M’s 16 to 20 yrs of age. One male wearing a red jacket,Two additional males wearin…"
6.70E+17,11/28/2015 4:07,closure,The 2100 b/o Alabama Avenue SE between Fredrick Douglas Place and 22nd St is closed due to Police Activity / Investigation. Avoid this area…
6.70E+17,11/28/2015 2:53,violence,7D on scene of a confirmed shooting // 2100 b/o Alabama Ave SE /No look outCIC Sender’s Name:Ilarraza CALL 911 W/ EVENT # I20150689619
6.70E+17,11/28/2015 2:53,theft ,"Carjacking in the 600 b/o Burns Street SE. LOF: 3 black/males, S1: 5'7"", no facial hair, silver gun, S2: 5'2"", black jeans. CALL 911 W/ EVE…"
6.70E+17,11/28/2015 2:53,violence,Robbery Force &amp; Violence in the 3400 b/o B Street SE. No Lookout. CALL 911 W/ EVENT #I20150689628
6.70E+17,11/28/2015 2:09,violence,Shooting at 2043 hrs in the 4000 b/o 3rd Street SE. No lookout. CALL 911 W/ EVENT # I20150689577
6.70E+17,11/28/2015 1:50,violence,"Shooting at 2008 hrs in the 2200 b/o Savannah Street, SE. No Lookout Sent By: Adegunleye. C., CALL 911 W/ EVENT # I20150689516"
6.70E+17,11/28/2015 1:20,theft ,"Robbery [Hold Up Gun] at 1902 hrs in the 1500 b/o Alabama Avenue, SE. LOF 2 B/M’s, 16-19 years old, slim built; S1: Black Jeans, Black jack…"
6.70E+17,11/27/2015 23:46,violence,"Robbery Force &amp; Violence,1300 b/o U Street NW LOF B/M 6'2 Larger sweater gray in color w/ blue pants CALL 911 W/ EVENT #I20150688323"
6.70E+17,11/27/2015 23:46,theft ,"Robbery knife // 1810 hours // 4600 blk Massachusetts Ave NW / LOF a W/M, 20 yoa, 5'7"", Black &amp; Yellow flannel shirt, back pack CALL 911 W/…"
6.70E+17,11/27/2015 23:46,theft ,"Robbery [Hold Up] at 1756 hrs in the 3000 b/o MLK Avenue, SE. LOF B/M. Juvenile, Black Jacket, Black Skull Cap. CALL 911 W/ EVENT # I201506…"
6.70E+17,11/27/2015 23:15,violence,"Robbery [Force &amp; Violence] at 1744 hrs at 2500 Elvans Road SE. LOF 8-10 B/M, Juveniles, Black Hoodies w/ Dreads. CALL 911 W/ EVENT # I20150…"
6.70E+17,11/27/2015 20:24,theft ,"Robbery - Knife at 1449 hrs in the 3800 b/o 9th Street SE. LOF: Black/Male, wearing all white clothing, glasses. Last seen towards Yuma Str…"
6.70E+17,11/27/2015 20:24,violence,"Robbery [Force &amp; Violence] at 1438 hrs at 3rd Street/ Atlantic Street SE. LOF B/M, dreads, dark complexion, wearing dark clothing. he has a…"
6.70E+17,11/27/2015 19:39,theft ,"Robbery: 3000 block Martin Luther King Jr. Avenue, SE. LOF: 3B/M’s, S(1): Black Hoodie, Black Jeans, Timberland Shoes, S(2): Red jacket, Wh…"
6.70E+17,11/27/2015 18:07,open,"The Northbound b/o 1400 to the 1500 b/o New York Ave NE, and the 2000 b/o Okie St NE Northbound and Southbound are all open."
6.70E+17,11/27/2015 17:52,theft ,"Robbery of an Establishment at 1220 hrs in the 3500 b/o Connecticut Ave. LOF W/M Brown hat, black shoes &amp; jacket, frizzy hair armed w/ a bl…"
6.70E+17,11/27/2015 17:22,closure,"MPD reports a car fire. The Northbound b/o 1400 to the 1500 b/o New York Ave NE, and the 2000 b/o Okie St NE Northbound and Southbound are …"
6.70E+17,11/27/2015 15:07,theft ,"Robbery of the Establishment in the 1500 b/o Maryland Ave, NE. LOF B/M, 5'8"", 25yrs, drk complexion, short hair,blk hat , blue hooded sweat…"
6.70E+17,11/27/2015 14:52,open,Update in reference to the pedestrian being struck by a vehicle at North Capitol Street and New York Avenue NW; the streets are now open to…
6.70E+17,11/27/2015 14:37,closure,"Pedestrian struck by a vehicle at North Capitol Street and New York Avenue NW, traffic going westbound on New York Avenue is closed at this…"
6.70E+17,11/27/2015 13:20,advisory,"TRAFFIC ADVISORY: CityCenterDC Holiday Tree Lighting

- MPD and the DC Department of Transportation would like to inform the public of stre…"
6.70E+17,11/27/2015 9:35,theft ,"Robbery at 0355 hrs in the 1700 b/o 16TH Street NW. LOF 2 B/M’s &amp; 1 B/F wearing all black clothing, last seen running from the scene. CALL …"
6.70E+17,11/27/2015 9:35,violence,"Robbery Force &amp; Violence, 0315 hours, 1300 b/o Fort Stevens Drive LOF H/M, 5'8"", wearing dark clothing CALL 911 W/ EVENT #I20150688323"
6.70E+17,11/27/2015 6:49,violence,"Stabbing at 0107 hrs in the 3100 block Buena Vista Tr SE. LOF a B/F red &amp; black jacket, brown pants and timberland boots CALL 911 W/ EVENT …"
6.70E+17,11/27/2015 5:49,open,U.S. Capitol Police reports that all related street closures are now open at C Street/ U.S. House / U.S. Senate exit of Northbound I-395 in…
6.70E+17,11/27/2015 5:04,theft ,"Robbery Knife, 2330 hours, 300 b/o Hawaii Avenue, NE LOF B/M, 5'8"", wearing a black hat and a black jacket CALL 911 W/ EVENT # I20150688147"
6.70E+17,11/27/2015 4:19,closure,The C St / U.S. House / U.S. Senate exit of northbound I-395 is temporarily closed for a police investigation.
6.70E+17,11/27/2015 0:34,violence,"Robbery (Force &amp; Violence) at 1857 hrs in the 1900 b/o Southern Avenue, SE. LOF B/M, 6'0"", Ski Mask, Thin Built. CALL 911 W/ EVENT # I20150…"
6.70E+17,11/26/2015 21:49,violence,"Robbery (Force &amp; Violence) at 1606 hrs in the 3900 b/o South Capitol Street, SE. LOF 10 -12 B/M wearing all black. CALL 911 W/ EVENT # I201…"
6.70E+17,11/26/2015 21:21,theft ,"Robbery Fear at 1543 hours in the Unit b/o P Street NE. LOF S-1 B/M 25-30 years of age, wearing black coat; S-2 B/M 25-30, wearing blue coa…"
6.70E+17,11/26/2015 20:48,violence,"Shooting: at 1515 hrs in the 400 b/o Foxhall Place SE. LOF: 2 black/males, 5'7"" tall, Suspect (1) blue pants, yellow shirt CALL 911 W/ EVEN…"
6.70E+17,11/26/2015 19:49,theft ,"Robbery Knife at 1421 hrs / 16th and Irving Street, NW. LOF 3 B/M CALL 911 W/ EVENT #I I20150687540"
6.70E+17,11/26/2015 12:30,theft ,"Robbery at 0710 hrs in the 3300 b/o Mount Pleasant Street, NW. LOF B/M, 45-50 years of age, last seen in a Gray Jaguar w/ MD tags 1CA1260 C…"
6.70E+17,11/26/2015 12:15,open,MPD reports that the overturned vehicle at the intersection of Texas Ave and D Street S.E has been cleared and all associated Street closur…
6.70E+17,11/26/2015 11:45,open,MPD reports all lanes have been reopened.
6.70E+17,11/26/2015 11:15,open,MPD reports that the traffic accident at the intersection of East Capitol and Benning Rd S.E. has been cleared and all associated Street cl…
6.70E+17,11/26/2015 10:45,closure,MPD reports an overturned vehicle due to a traffic accident. The intersection of Texas Ave and D Street S.E between Texas Avenue and Dubois…
6.70E+17,11/26/2015 10:30,closure,MPD reports a vehicle accident on the South Capital St bridge EB. Lanes 2 and 3 are closed. Use alternate routes.
6.70E+17,11/26/2015 10:30,closure,MPD reports an accident at the intersection of East Capitol and Benning Rd S.E. Westbound on East Capitol Street is closed to traffic. Plea…
6.70E+17,11/26/2015 7:13,theft ,"Robbery Gun, 0138 hours, Calvert Street, &amp; Adam Mills Road, NW LOF (2) B/M’s wearing glasses, (1) wearing a Helly Hanson jacket, both armed…"
6.70E+17,11/26/2015 6:43,violence,"Shooting at 2230 hrs in the 200 b/o 17th Pl NE. LOF a B/M, 5'9""-6'0"", medium build, dark complexion, wearing black jacket, black jeans, ful…"
6.70E+17,11/26/2015 5:27,advisory,The Silver Alert issued for Mr. Nathaniel Eugene Norwood from Prince George’s County has been cancelled. Mr. Norwood has been located unhar…
6.70E+17,11/26/2015 3:12,advisory,"On behalf of the Prince George’s County Police Department, a Silver Alerts

https://t.co/3Gby5Q5Xkz"
6.70E+17,11/26/2015 2:14,violence,Assault w/Intent to Rob / 2043 hours / 12th &amp; Clifton St NW / LOF 4 Juv B/M’s CALL 911 W/ EVENT # I20150686463
6.70E+17,11/25/2015 23:48,open,Incident cleared by EOD w/ no hazardous material found – All associated street closures have been lifted.
6.70E+17,11/25/2015 23:03,closure,MPD reports a Suspicious Package [unattended black computer bag] at the aforementioned location; the below-listed streets are CLOSED – No e…
6.70E+17,11/25/2015 19:27,theft ,Robbery F&amp;V / 1245 hrs / 42nd &amp; Chesapeake St NW / LOF 5 B/M’s late teens early 20s CALL 911 W/ EVENT # I20150685634
6.70E+17,11/25/2015 14:55,theft ,"Robbery Gun 1500 blk of Maryland Ave NE. LOF B/M 5'9"" star tatoo under left eye,wearing Blue bubble coat w/hood, blue pants armed w/ a gun.…"
6.70E+17,11/25/2015 13:37,advisory,"TRAFFIC
ADVISORY:
Trot for Hunger

(Washington,
DC) - On Thursday, November 26, 2015, So Others Might Eat (SOME)’s Trot
for Hunger race wil…"
6.69E+17,11/25/2015 11:35,advisory,"DHS reports the Hypothermia Alert will remain off. Per NWS, the current temperature is 38° w/ a wind chill of 35°. Today’s forecast: Sunny,…"
6.69E+17,11/25/2015 9:35,advisory,"MISSING PERSON CRITICAL COMMAND POST 2330 HRS, 1500 BLOCK EMERSON ST NW. LOF B/F 29YRS, 5'3"", 120LBS, LIGHT CPLX, WEARING GRAY SWEATPANTS &amp;…"
6.69E+17,11/25/2015 5:35,theft ,"Armed Carjacking at 2311hrs, 2400 blk of 15th St.SE. LOF Blk Toyota Avalon MD/2BV0076, occ (2) B/M’s armed w/ handguns CALL 911 W/ EVENT #I…"
6.69E+17,11/25/2015 4:50,theft ,"Robbery Gun at 2125 hrs in the 700 b/o Longfellow Street NW. LOF 4 B/M’s, 23-25 years of age, skinny built wearing black clothing and black…"
6.69E+17,11/25/2015 4:19,violence,"Robbery Force &amp; Violence, 2244 hours, 200 b/o 8th Street, SE LOF B/M. 5'3"", wearing all black clothing CALL 911 W/ EVENT #I20150684689"
6.69E+17,11/25/2015 2:49,theft ,"Robbery (Gun) at 2120 hours in the 1100 b/o Florida Avenue, NW. LOF B/M, 6'4, 160lbs., wearing a black jacket and black jeans; armed w/ a b…"
6.69E+17,11/25/2015 1:17,theft ,"Robbery Gun at intersection of 14TH ST NW/COLORADO AVE, NW LOF 3 B/M’s wearing all dark clothing 5'8 to 5'11. S-1 armed w/ a handgun. CALL …"
6.69E+17,11/25/2015 0:14,theft ,"Robbery Force &amp; Violence in the 800 b/o Hamilton Street, NW. LOF Suspect (1) B/M 14-15, short hair, thin build, dark jacket, skinny jeans. …"
6.69E+17,11/24/2015 23:05,theft ,Armed Car Jacking at 1722 hrs in the 4500 b/o 3rd St. SE. LOF a 2008 White Ford Fusion DC Tags: ER1700 CALL 911 W/ EVENT #I20150684123
6.69E+17,11/24/2015 21:45,theft ,"Robbery Gun at 1605 hrs in the 3000 b/o 10th Pl. SE. LOF 2 B/M: (1) Red jacket, brown pants 230 lbs, dears armed w/ a revolver. (2) 5'6"" gr…"
6.69E+17,11/24/2015 20:41,theft ,Robbery Gun at 1413 hrs at First &amp; Q ST SW. LOF 2 B/M 17-18 years old both wearing black clothing. CALL 911 W/ EVENT #
6.69E+17,11/24/2015 18:24,violence,"Robbery (Force &amp; Violence) at 1256 hrs in the 3200 b/o 5th Street, SE. LOF B/M wearing black ski mask, black jacket, and blue jeans. Last s…"
6.69E+17,11/24/2015 17:39,theft ,"Robbery (Gun) 1207 hrs, in the 6900 blk of Georgia Ave NW …(S-1) B/M .. LIGHT COMPLX … 6'2 ,THICK BUILD ..APORX LATE 20’S armed w/ a gun (S…"
6.69E+17,11/24/2015 17:05,theft ,"Robbery Gun at 1136 hrs in the 1300 Blk of 13th St/Harvard St NW. LOF S-1 B/M, 5’-10"", heavy build, Blk Jkt, dark jeans armed w/a gun. S-2 …"
6.69E+17,11/24/2015 16:34,theft ,"Robbery Gun at 1052hrs in the 3600 Blk Georgia Ave NW. LOF S-1 B/M, 5'8""-5'10"", 210lbs,Blk Jkt, armed w/a gun. S-2 B/M, 6'0""-6'2"",long drea…"
6.69E+17,11/24/2015 11:34,advisory,"DHS reports that the Hypothermia Alert will be turned off. Per NWS, the current temperature is 36°.Today’s forecast is Sunny, w/ a high nea…"
6.69E+17,11/24/2015 5:16,advisory,"P2: MD.002: On behalf of the Prince George’s County Police Department, a Silver Alert is being activated for a missing 72 year old B/F.Miss…"
6.69E+17,11/24/2015 4:16,closure,The outbound lanes of Pennsylvania Avenue at Minnesota Avenue SE are closed due to a police investigation. Please avoid area.
6.69E+17,11/24/2015 3:31,violence,"SHOOTING at 2145 HRS in the 2500 PA AVE SE. LOF B/M 5'7"", BLACK &amp; WHITE SHIRT WITH A PINK SCARF COVERING HIS FACE CALL 911 W/ EVENT # I2015…"
6.69E+17,11/24/2015 3:16,open,Capitol Heights Metro Station is now fully reopened.  Blue &amp; Silver Line trains are still single tracking between Stadium-Armory and Addiso…
6.69E+17,11/24/2015 2:31,theft ,"Robbery in the 300 b/o Franklin ST NE. LOF B/M 5'9’’ medium built, Gray Jacket. CALL 911 W/ EVENT #I20150666967"
6.69E+17,11/24/2015 2:01,theft ,Capitol Heights Metro Station is currently closed.  Blue &amp; Silver Line trains are single tracking between Stadium-Armory and Addison Road s…
6.69E+17,11/24/2015 0:01,violence,"Robbery [Force &amp; Violence] at 1827 hrs in the 3600 b/o Blaine Street, NE. LOF 3 Juvenile Males. CALL 911 W/ EVENT # I20150682200"
6.69E+17,11/23/2015 23:46,theft ,"Robbery Knife at 1500 hours in the Unit b/o N Street NW. LOF: Black/Male, 30’s years of age, 6'2"" tall, wearing big sunglasses, dark jeans.…"
6.69E+17,11/23/2015 23:31,theft ,"Attempted Robbery [Gun] at 1801 hrs in the 2300 b/o Q Street, SE. LOF B/M, 6'4"",slim built, medium complexion, goatee, grey and white skull…"
6.69E+17,11/23/2015 22:16,advisory,"DDOT will temporarily close single lanes on Virginia Avenue, NW, and 21st Street, NW, over the E Street Expressway from 10 am to 3 pm Tuesd…"
6.69E+17,11/23/2015 22:16,violence,"Stabbing in the 1700 B/O New Jersey Ave, NW; LOF: B/M DRK, GREY SWEAT PANTS BLK STRIPE ON SIDE FULL BEARD 5'10 240 LBS CALL 911 W/ EVENT #I…"
6.69E+17,11/23/2015 22:01,violence,Stabbing in the 1700 block New Jersey Ave NE. CALL 911 W/ EVENT # I20150681966
6.69E+17,11/23/2015 20:46,advisory,DHS reports the hypothermia alert will remain in effect through the evening. Please take all needed precautions.
6.69E+17,11/23/2015 20:01,theft ,"Robbery [Hold Up Gun] at 1413 hrs in the 500 b/o 49th Place, NE. LOF 2B/M’s; S(1): 5'7"", 21-22 yrs, dark complexion, Blue Jeans and black h…"
6.69E+17,11/23/2015 15:53,theft ,"Robbery Pocket Book Snatch in the 1300 b/o Trinidad Avenue, NE. LOF B/M 5'10"", 150 lbs, med complexion, wearing a Black Jacket, black cap, …"
6.69E+17,11/23/2015 15:38,closure,MPD reports the 800 b/o West Virginia Ave and the 1000 b/o 8th St NE is closed due to a motor vehicle accident. Please avoid the area.
6.69E+17,11/23/2015 14:52,violence,"Robbery (Force &amp; Violence) at 0745 hrs in the 300 b/o Cape Dr SE. LOF (1) Suspect Black/Male, 13-15 years-old, black jacket, dark blue hood…"
6.69E+17,11/23/2015 13:37,theft ,"Robbery Snatch, 0813 hours, 300 b/o Cape Drive SE, LOF B/M, 14-15 years of age, black jacket, dark blue hoodie, dark jeans last seen runnin…"
6.69E+17,11/23/2015 11:52,advisory,"DHS reports the Hypothermia Alert will remain on. Per NWS, the current temperature is 33° w/ a wind chill of 24°. Today’s forecast: Sunny, …"
6.69E+17,11/23/2015 4:05,theft ,Robbery Gun at 2223 hrs in the 500 b/o Gresham Pl NW. LOF 3 B/M; (1) w/ black jacket/white print CALL 911 W/ EVENT #I20150680647
6.69E+17,11/23/2015 2:05,violence,"Stabbing in the 3700blk of Minnesota Ave NE. LOF a B/M, 5'8"", 26-27 yoa, all black clothing w/ a blk backpack. CALL 911 W/ EVENT #I20150680…"
6.69E+17,11/22/2015 23:48,theft ,"Robbery snatch at 4th &amp; W ST NE at 1812 hrs. LOF BM, 5'10, 20 year old, slim built, wearing black jacket, baggie gray jeans, black ski mask…"
6.69E+17,11/22/2015 20:06,advisory,Those in need during a hypothermia alert can call Shelter Hotline: 1-800-535-7252 or Mayor's Call Center: 311 to get assistance.
6.69E+17,11/22/2015 20:04,theft ,"Robbery Snatch at 1443 hrs in the 4600 b/o Benning Rd SE. LOF B/M wearing all black w/ black hoodie, a tattoo of cross on the right side of…"
6.68E+17,11/22/2015 17:32,advisory,"DHS reports that the Hypothermia Alert will be activated at 7 P.M. tonight. Per NWS, the current temperature is 48°. Today’s forecast is mo…"
6.68E+17,11/22/2015 12:43,theft ,"Robbery Gun, 0715 hours, 400 b/o Emerson Street NW. LOF B/M armed w/ a gun. CALL 911 W/ EVENT #I20150679389"
6.68E+17,11/22/2015 12:43,open,DDOT reports the accident located at the intersection of East Capitol Street and Southern Avenue SE is cleared and all lanes have reopened.
6.68E+17,11/22/2015 11:13,theft ,"Classification changed to Robbery Snatch. Investigation 3D is on the scene of a robbery gun of a citizen in the1800 b/o Mintwood Place, NW.…"
6.68E+17,11/22/2015 11:13,theft ,"Investigation 3D is on the scene of a robbery gun of a citizen in the1800 b/o Mintwood Place, NW. No reported injuries. LOF 3 B/M’s, wearin…"
6.68E+17,11/22/2015 8:13,theft ,"Robbery in the 700 b/o Irving Street NE. LOF 2 B/M’s: (S1) blue mechanic suit, 5'6""; (S2) gray sweater, black jeans, brown cap armed w/ a g…"
6.68E+17,11/22/2015 7:28,theft ,"robbery at 0206 hrs in the 1800 b/o 18th Street. LOF B/M MID-LATE 20’S, BLACK COAT, BLUE SHIRT…TATTOO OVER EYE CALL 911 W/ EVENT #I20150679…"
6.68E+17,11/22/2015 5:27,theft ,"ROBBERY at 2240 hrs in the [hundred] b/o 2500 14th street . LOF 4 H/MM BASEBALL,BLACK SHIRT CALL 911 W/ EVENT #I20150678673"
6.68E+17,11/22/2015 5:12,theft ,"Robbery of Establishment at 2334 hrs in the 3600 b/o M St NW. LOF B/M, 5'11"", dark complexion, wearing black hooded sweatshirt, black pants…"
